STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-08-20,0.28,54,47
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-08-21,0.11,56,47
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-08-22,0.12,53,47
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-08-23,0.28,55,51
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-08-24,0.01,59,49
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-08-25,0.57,57,48
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-08-26,0.86,56,50
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-08-27,0.01,54,48
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-08-28,0.06,56,52
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-08-29,0.17,58,52
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-08-30,0.61,54,50
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-08-31,0.05,55,50
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-09-01,0.02,57,48
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-09-02,0.01,56,49
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-09-03,0.02,57,49
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-09-04,0.01,56,50
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-09-05,0.08,55,50
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-09-06,0.14,57,50
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-09-07,0.01,59,48
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-09-08,0.02,55,48
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-09-09,0.01,55,45
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-09-10,0.43,53,45
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-09-11,0.11,50,44
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-09-12,0.11,53,41
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-09-13,0.1,55,43
